('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         773660 function calls (749659 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      164    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     9135    0.001    0.000    0.001    0.000 typing.py:1737(cast)
      211    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       11    0.001    0.000    0.107    0.010 {method 'join' of 'bytes' objects}
     2053    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      270    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      191    0.001    0.000    0.008    0.000 sre_compile.py:560(_compile_info)
     5940    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      191    0.001    0.000    0.135    0.001 sre_compile.py:783(compile)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      328    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
    215/4    0.001    0.000    0.277    0.069 <frozen importlib._bootstrap>:1022(_find_and_load)
     9180    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      804    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
     2814    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2814    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      661    0.001    0.000    0.002    0.000 filter.py:612(_attribute_match)
     4247    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      308    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
     5750    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     3715    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     4275    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     1363    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     2664    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
      194    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      943    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     1130    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
