('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         773660 function calls (749659 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2223(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:732(parse_pseudo_open)
      237    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       12    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.042    0.042 sessions.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.034    0.034 connection.py:846(_ssl_wrap_socket_and_match_hostname)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       22    0.000    0.000    0.001    0.000 typing.py:523(Optional)
       16    0.000    0.000    0.042    0.003 css_parser.py:296(__init__)
      194    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      210    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
        1    0.000    0.000    0.001    0.001 dammit.py:98(EntitySubstitution)
        1    0.000    0.000    0.064    0.064 connection.py:669(connect)
        1    0.000    0.000    0.000    0.000 calendar.py:295(TextCalendar)
        2    0.000    0.000    0.000    0.000 request.py:2487(getproxies_environment)
       34    0.000    0.000    0.012    0.000 element.py:2715(find_all)
        1    0.000    0.000    0.148    0.148 element.py:1(<module>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.005    0.005 css_types.py:1(<module>)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:703(__init_subclass__)
       50    0.000    0.000    0.001    0.000 ipaddress.py:1908(__init__)
    69/49    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
        3    0.000    0.000    0.034    0.011 exceptions.py:1(<module>)
    87/85    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       29    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
  136/118    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      125    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
        1    0.000    0.000    0.017    0.017 client.py:1(<module>)
        1    0.000    0.000    0.030    0.030 connection.py:27(create_connection)
       31    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       52    0.000    0.000    0.000    0.000 typing_extensions.py:2872(_check_generic)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       52    0.000    0.000    0.002    0.000 css_parser.py:1092(<listcomp>)
        1    0.000    0.000    0.767    0.767 client.py:311(begin)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1488(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        1    0.000    0.000    0.004    0.004 pretty.py:1(<module>)
       48    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
      164    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        7    0.000    0.000    0.002    0.000 typing.py:2247(_make_nmtuple)
      397    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       25    0.000    0.000    0.000    0.000 _collections.py:300(add)
      191    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
       13    0.000    0.000    0.000    0.000 typing.py:801(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        8    0.000    0.000    0.001    0.000 _htmlparser.py:226(handle_charref)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       54    0.000    0.000    0.000    0.000 re.py:269(escape)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.004    0.004 _typing.py:1(<module>)
       10    0.000    0.000    0.000    0.000 parse.py:380(urlparse)
        1    0.000    0.000    0.016    0.016 ssl_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
       42    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        9    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.001    0.001 ssl_.py:219(create_urllib3_context)
       87    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.010    0.010 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:302(makefile)
      156    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        1    0.000    0.000    0.941    0.941 sessions.py:673(send)
        6    0.000    0.000    0.001    0.000 typing.py:2267(__new__)
        3    0.000    0.000    0.000    0.000 feedparser.py:101(push)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
        7    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
       25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.737    0.737 client.py:278(_read_status)
        3    0.000    0.000    0.000    0.000 timeout.py:126(resolve_default_timeout)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      196    0.000    0.000    0.000    0.000 os.py:698(__iter__)
        9    0.000    0.000    0.000    0.000 typing_extensions.py:518(_get_protocol_attrs)
       71    0.000    0.000    0.000    0.000 element.py:657(_last_descendant)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:1083(putrequest)
        1    0.000    0.000    0.833    0.833 connectionpool.py:377(_make_request)
       37    0.000    0.000    0.000    0.000 element.py:524(get_text)
        1    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        1    0.000    0.000    0.003    0.003 parser.py:41(parse)
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       37    0.000    0.000    0.000    0.000 element.py:547(<listcomp>)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:236(Morsel)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ssl.py:728(verify_mode)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:443(__setattr__)
        9    0.000    0.000    0.000    0.000 typing.py:1188(copy_with)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:915(_TypedDictMeta)
        1    0.000    0.000    0.002    0.002 zipfile.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.079    0.079 css.py:1(<module>)
       46    0.000    0.000    0.001    0.000 ipaddress.py:1740(_parse_hextet)
       14    0.000    0.000    0.012    0.001 css_parser.py:1135(process_selectors)
        1    0.000    0.000    0.000    0.000 {built-in method today}
      198    0.000    0.000    0.000    0.000 os.py:759(decode)
        1    0.000    0.000    0.033    0.033 ssl.py:507(wrap_socket)
       20    0.000    0.000    0.000    0.000 _collections_abc.py:909(__iter__)
        1    0.000    0.000    0.000    0.000 datetime.py:442(timedelta)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      191    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        9    0.000    0.000    0.000    0.000 typing_extensions.py:579(__new__)
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        1    0.000    0.000    0.033    0.033 ssl.py:1364(do_handshake)
       29    0.000    0.000    0.000    0.000 element.py:2173(get_attribute_list)
        1    0.000    0.000    0.030    0.030 connection.py:192(_new_conn)
        1    0.000    0.000    0.007    0.007 cd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        6    0.000    0.000    0.000    0.000 typing.py:964(__mro_entries__)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
       19    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
       30    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        7    0.000    0.000    0.001    0.000 typing.py:2249(<dictcomp>)
        1    0.000    0.000    0.031    0.031 client.py:224(parse_headers)
        1    0.000    0.000    0.001    0.001 resources.py:1(<module>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       91    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
        1    0.000    0.000    0.768    0.768 client.py:1331(getresponse)
        1    0.000    0.000    0.000    0.000 pathlib.py:540(PurePath)
       34    0.000    0.000    0.000    0.000 element.py:2869(__init__)
       25    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       32    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       11    0.000    0.000    0.000    0.000 queue.py:122(put)
       39    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 response.py:577(__init__)
       23    0.000    0.000    0.000    0.000 parse.py:123(_coerce_args)
      196    0.000    0.000    0.000    0.000 _collections_abc.py:885(__iter__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:1549(__init_subclass__)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1616(_make_netmask)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
        2    0.000    0.000    0.050    0.025 api.py:1(<module>)
        4    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        5    0.000    0.000    0.000    0.000 connection.py:355(putheader)
        1    0.000    0.000    0.943    0.943 api.py:62(get)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.001    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.833    0.833 connectionpool.py:592(urlopen)
        1    0.000    0.000    0.000    0.000 ssl.py:1255(sendall)
        9    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      113    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       68    0.000    0.000    0.000    0.000 filter.py:245(<listcomp>)
        9    0.000    0.000    0.000    0.000 typing.py:1208(__getitem_inner__)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       12    0.000    0.000    0.000    0.000 _collections_abc.py:821(get)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
        1    0.000    0.000    0.000    0.000 response.py:316(__init__)
       99    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       10    0.000    0.000    0.000    0.000 typing.py:1194(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:159(TreeBuilder)
        1    0.000    0.000    0.066    0.066 formatter.py:1(<module>)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1266(IPv4Address)
      9/7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        8    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 adapters.py:359(build_response)
       18    0.000    0.000    0.000    0.000 _deprecation.py:51(_deprecated_function_alias)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
       67    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        8    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
        1    0.000    0.000    0.834    0.834 adapters.py:613(send)
       14    0.000    0.000    0.000    0.000 css_parser.py:449(__init__)
       31    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 ssl.py:562(set_alpn_protocols)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
        9    0.000    0.000    0.000    0.000 parse.py:168(hostname)
        1    0.000    0.000    0.000    0.000 __init__.py:395(Deprecated)
        2    0.000    0.000    0.000    0.000 url.py:367(parse_url)
       19    0.000    0.000    0.000    0.000 enum.py:82(__init__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 models.py:658(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:1(<module>)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.000    0.000 client.py:248(__init__)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.044    0.044 css_parser.py:418(CSSParser)
        1    0.000    0.000    0.000    0.000 element.py:1569(Tag)
        2    0.000    0.000    0.000    0.000 _collections.py:141(clear)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
        2    0.000    0.000    0.012    0.006 parser.py:1(<module>)
        2    0.000    0.000    0.000    0.000 client.py:417(close)
        1    0.000    0.000    0.003    0.003 socket.py:938(getaddrinfo)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:294(handle_decl)
        1    0.000    0.000    0.026    0.026 css_parser.py:316(__init__)
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1323(__class_getitem__)
        1    0.000    0.000    0.013    0.013 _request_methods.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:722(runtime_checkable)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       20    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        2    0.000    0.000    0.000    0.000 posixpath.py:229(expanduser)
        5    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        9    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
      130    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1170(_close_pool_connections)
        1    0.000    0.000    0.020    0.020 _base_connection.py:1(<module>)
       12    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
       45    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
        1    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.000    0.000 connection.py:320(close)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        7    0.000    0.000    0.000    0.000 typing.py:1223(__getitem__)
        1    0.000    0.000    0.000    0.000 dammit.py:485(EncodingDetector)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        3    0.000    0.000    0.000    0.000 cookies.py:534(<listcomp>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:666(reset)
       11    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
    67/36    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1685(extract_cookies)
        2    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1604(make_cookies)
        5    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 idna.py:145(encode)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
       18    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        4    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        1    0.000    0.000    0.000    0.000 request.py:1416(UnknownHandler)
        1    0.000    0.000    0.009    0.009 feedparser.py:1(<module>)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1266(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       23    0.000    0.000    0.000    0.000 threading.py:359(notify)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_parser.py:667(parse_pseudo_nth)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       25    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
      113    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       19    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        3    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
       12    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
        1    0.000    0.000    0.000    0.000 inspect.py:2280(_signature_from_function)
       24    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
        1    0.000    0.000    0.001    0.001 utils.py:204(get_netrc_auth)
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:82(HTTPConnection)
       69    0.000    0.000    0.000    0.000 typing_extensions.py:3024(<listcomp>)
       40    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:816(SpooledTemporaryFile)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       10    0.000    0.000    0.000    0.000 typing.py:1107(__mro_entries__)
        1    0.000    0.000    0.000    0.000 client.py:968(send)
        5    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
        5    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
        1    0.000    0.000    0.000    0.000 request.py:1256(AbstractHTTPHandler)
        1    0.000    0.000    0.000    0.000 re.py:222(split)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1873(_split_scope_id)
        1    0.000    0.000    0.000    0.000 socket.py:679(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:563(_BaseAddress)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
      128    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
       61    0.000    0.000    0.000    0.000 dammit.py:229(<listcomp>)
        1    0.000    0.000    0.001    0.001 sessions.py:457(prepare_request)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
       24    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
       42    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
        1    0.000    0.000    0.000    0.000 mimetypes.py:399(_default_mime_types)
        4    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        1    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
       22    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:302(decorator)
       25    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
        4    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        5    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
        1    0.000    0.000    0.207    0.207 _htmlparser.py:449(feed)
        3    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
        1    0.000    0.000    0.000    0.000 client.py:1029(_send_output)
       26    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
        1    0.000    0.000    0.943    0.943 api.py:14(request)
       10    0.000    0.000    0.000    0.000 socket.py:99(_intenum_converter)
        1    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.943    0.943 sessions.py:500(request)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
       50    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
        1    0.000    0.000    0.000    0.000 sessions.py:356(Session)
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
        9    0.000    0.000    0.000    0.000 typing_extensions.py:595(__init__)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        4    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        5    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
        2    0.000    0.000    0.000    0.000 ssl.py:736(verify_mode)
        1    0.000    0.000    0.000    0.000 _html5lib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socks.py:1(<module>)
       50    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
        3    0.000    0.000    0.107    0.036 models.py:890(content)
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 weakref.py:586(__call__)
       11    0.000    0.000    0.000    0.000 threading.py:90(RLock)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       14    0.000    0.000    0.000    0.000 util.py:19(to_str)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 structures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1361(add_cookie_header)
        1    0.000    0.000    0.000    0.000 connection.py:335(putrequest)
        3    0.000    0.000    0.000    0.000 _collections.py:82(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:442(__iter__)
        5    0.000    0.000    0.000    0.000 connection.py:163(host)
        1    0.000    0.000    0.000    0.000 ssl.py:600(minimum_version)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:423(_is_dunder)
        4    0.000    0.000    0.000    0.000 ssl.py:457(__new__)
        1    0.000    0.000    0.000    0.000 _lxml.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssltransport.py:22(SSLTransport)
        6    0.000    0.000    0.000    0.000 _htmlparser.py:266(handle_entityref)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2299(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1251(CookieJar)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1227(vals_sorted_by_key)
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.000    0.000 formatter.py:10(Formatter)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.000    0.000 parser.py:255(parse_html_declaration)
        1    0.000    0.000    0.000    0.000 _common.py:60(get_package)
        4    0.000    0.000    0.000    0.000 cookiejar.py:885(__init__)
        2    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Distribution)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
